time_decimal,value
1974.372602739726,333.38
1974.3753424657532,333.11
1974.3780821917808,333.46
1974.380821917808,333.64
1974.383561643836,333.5
1974.386301369863,333.21
1974.3890410958904,333.05
1974.3972602739725,333.32
1974.4,332.79
1974.4027397260277,332.43
1974.4054794520548,332.6
1974.4082191780824,333.3
1974.4109589041093,333.25
1974.4219178082192,333.08
1974.4246575342463,332.75
1974.427397260274,331.83
1974.4301369863012,332.09
1974.4328767123288,332.0
1974.435616438356,332.36
1974.4383561643835,332.25
1974.441095890411,332.28
1974.4438356164385,332.03
1974.4465753424656,331.85
1974.4493150684928,332.63
1974.4520547945208,332.02
1974.454794520548,332.1
1974.4575342465755,332.18
1974.4602739726024,332.74
1974.4630136986304,332.33
1974.4657534246576,332.35
1974.468493150685,332.53
1974.4712328767123,332.35
1974.47397260274,332.25
1974.4767123287672,331.44
1974.4794520547944,332.08
1974.4849315068493,331.28
1974.487671232877,331.61
1974.493150684932,331.85
1974.4986301369863,331.44
1974.5013698630137,332.06
1974.504109589041,331.65
1974.5068493150684,331.58
1974.509589041096,331.53
1974.5150684931507,331.57
1974.517808219178,331.65
1974.5205479452052,331.47
1974.5232876712328,331.55
1974.5260273972603,331.26
1974.528767123288,331.27
1974.5342465753424,331.04
1974.5369863013696,330.8
1974.5424657534247,330.69
1974.545205479452,330.96
1974.5479452054797,330.68
1974.5506849315068,330.65
1974.5534246575344,330.82
1974.5561643835615,330.7
1974.558904109589,331.17
1974.5616438356165,331.21
1974.564383561644,330.29
1974.5671232876712,330.45
1974.5780821917808,330.15
1974.580821917808,329.59
1974.5835616438355,329.69
1974.5863013698631,329.79
1974.5890410958905,330.23
1974.5945205479447,329.77
1974.6,330.15
1974.6027397260275,329.73
1974.6054794520549,329.37
1974.6082191780824,329.02
1974.6109589041096,329.38
1974.613698630137,329.34
1974.619178082192,328.63
1974.6246575342464,329.36
1974.627397260274,329.37
1974.6301369863013,329.3
1974.6328767123289,329.07
1974.635616438356,329.41
1974.641095890411,328.76
1974.6438356164383,328.47
1974.6465753424657,328.69
1974.6493150684933,328.89
1974.6520547945208,328.36
1974.654794520548,327.96
1974.6575342465756,328.12
1974.660273972603,328.24
1974.66301369863,328.06
1974.6657534246576,328.15
1974.6712328767123,328.19
1974.676712328767,328.19
1974.6794520547944,327.88
1974.682191780822,327.87
1974.6876712328767,327.8
1974.690410958904,327.84
1974.6931506849317,327.46
1974.7013698630135,327.14
1974.704109589041,327.06
1974.709589041096,326.06
1974.7123287671236,326.79
1974.7150684931507,327.23
1974.717808219178,326.78
1974.7205479452052,326.42
1974.72602739726,327.05
1974.728767123288,326.42
1974.731506849315,326.25
1974.7369863013696,327.5
1974.7397260273967,327.72
1974.7424657534248,327.28
1974.745205479452,327.59
1974.7479452054797,327.48
1974.7534246575344,327.53
1974.758904109589,326.69
1974.7616438356165,327.01
1974.764383561644,327.29
1974.7671232876712,327.17
1974.772602739726,327.0
1974.7753424657533,326.72
1974.7780821917809,327.25
1974.780821917808,327.15
1974.783561643836,327.22
1974.7890410958903,327.26
1974.7917808219177,327.18
1974.7972602739728,327.34
1974.8,327.36
1974.8082191780825,327.32
1974.8109589041096,327.46
1974.813698630137,327.41
1974.8164383561643,327.44
1974.819178082192,327.6
1974.8219178082195,327.87
1974.8246575342464,327.53
1974.827397260274,327.46
1974.830136986301,327.48
1974.8328767123287,327.72
1974.835616438356,327.8
1974.838356164384,327.91
1974.841095890411,327.95
1974.8438356164384,327.79
1974.8465753424657,327.86
1974.849315068493,328.0
1974.8520547945209,327.76
1974.854794520548,327.35
1974.8575342465756,327.91
1974.8602739726027,327.97
1974.8657534246572,328.24
1974.868493150685,328.14
